time,orderId,event,publishTimeTaken,relayDelay
1570624393865,LTFGQMQNWRJD,PATCH,1668,60566
1570624393738,LTFGQMKDZ1FD,PATCH,1544,60900
1570624393739,LTFGQMTFNRMR,PATCH,1543,60695
1570624393652,LTFGQMHTI7V5,PATCH,1925,69160
1570624394387,LTFGQMR1N680,PATCH,2316,63485
1570624394417,LTFGQMR9JDQO,PATCH,2364,64582
1570624627834,LT4ANEDHDY1YK,CREATE,1921,97570
1570624627894,LT4ANEBEVF4O2,PATCH,1906,97146
1570624419709,LTFGQMUEVMFS,UPDATE,2461,79536
1570624627834,LTFGQMNW7IKP,PATCH,1887,97542
1570624419914,LTFGQMP57Q3G,PATCH,2668,79744
1570624420125,LTFGQML5HPFM,PATCH,3116,82016
1570624394386,LT4ANEA1LKGNO,PATCH,2688,71022
1570624394387,LTFGQMRVTT9Y,PATCH,2320,64025
1570624394408,LTFGQMUUI93Z,CREATE,2336,63155
1570624394815,LT4ANE8QA6G14,PATCH,2032,64988
1570624395056,LTFGQMTL1WPU,PATCH,3220,68531
1570624394949,LTFGQMPEZPAL,PATCH,3125,68690
1570624485276,LTFGQMP6JWY7,PATCH,47144,63684
1570624485307,LT4ANEBWR7CT0,PATCH,47142,61389
1570624485539,LT4ANECZ7AU78,PATCH,354,65147
1570624616732,LTFGQMWMN274,PATCH,2489,94133
1570624485190,LTFGQMUJNS4T,PATCH,47085,64817
1570624485167,LT4ANECYX1QE0,UPDATE,46557,63207
1570624485184,LTFGQMQ3AYSD,UPDATE,46533,59056
1570624420250,LTFGQME68NMK,PATCH,420,78060
1570624420171,LTFGQMA8R18Y,PATCH,3114,81991
1570624617415,LTFGQLU99IMK,PATCH,3301,95485
1570624415010,LTFGQMUJSGO9,UPDATE,23011,85218
1570624624479,LTFGQM44OZKU,PATCH,1925,102680
1570624415070,LTFGQMQN8LJU,UPDATE,23046,85278
1570624415108,LTFGQMUSKY77,CREATE,23224,87086
1570624415108,LTFGQMQ4LB6T,PATCH,20727,84535
1570624415108,LTFGQMTL1WPU,PATCH,20052,87013
1570624617891,LTFGQMDU2HSN,UPDATE,1161,93957
1570624485582,LTFGQMP6JWY7,PATCH,306,63221
1570624485578,LTFGQMPEZPAL,PATCH,281,62188
1570624622554,LTFGQMOZHE21,PATCH,8449,101786
1570624488254,LTFGQMU1EN0U,PATCH,1834,51509
1570624625498,LTFGQMKDZ1FD,PATCH,11564,107067
1570624421382,LTFGQMT76229,PATCH,651,64233
1570624421398,LT4ANE9ZY1BWC,PATCH,895,77168
1570624489476,LTFGQMK6I8VJ,PATCH,2947,52069
1570624485297,LTFGQMPEZPAL,PATCH,47155,63225
1570624485307,LT4ANECZRE1E6,CREATE,47148,61620
1570624489308,LTFGQMVILP7Q,PATCH,2906,53872
1570624485561,LTFGQMUEN6EV,PATCH,365,63556
1570624485692,LT4ANECZ7AU78,PATCH,153,65163
1570624702465,LTFGQLRH7HNN,UPDATE,2027,44603
1570624421850,LTFGQMTXA7W3,PATCH,1044,63075
1570624421900,LTFGQMTMSO1R,PATCH,1060,62185
1570624488837,LT4ANECC2YEAC,PATCH,2992,62232
1570624488979,LTFGQLLCVJNC,PATCH,3138,62775
1570624489246,LTFGQM2S3L9H,PATCH,2881,53931
1570624623258,LTFGQMX50CGY,UPDATE,9221,103342
1570624488199,LT4ANECVPWXFM,PATCH,1781,51869
1570624415160,LT4ANEBS822QM,PATCH,23176,85966
1570624415109,LTFGQMHAV1WF,PATCH,23134,86035
1570624415975,LTFGQMUASPSQ,UPDATE,1033,84092
1570624415093,LTFGQM3184J2,PATCH,20834,86952
1570624415132,LT4ANE6GZ1044,PATCH,23230,86942
1570624490886,LTFGQMNBNFS3,PATCH,601,51936
1570624490995,LTFGQMVNUCCR,PATCH,700,51672
1570624627628,LTFGQMGX7P6K,PATCH,1994,101830
1570624491093,LT4ANED2GLXU8,CREATE,789,51078
1570624619767,LTFGQMWV5GZ4,UPDATE,5702,99768
1570624489770,LTFGQM80NV7G,UPDATE,3655,57434
1570624489887,LTFGQME4UNMM,PATCH,1049,59704
1570624623344,LTFGQMR9JDQO,PATCH,9250,102913
1570624415083,LTFGQMUTNM4E,CREATE,23046,85262
1570624624479,LTFGQML82EUS,PATCH,8058,104520
1570624415108,LTFGQMSCJAYL,PATCH,20847,83602
